чу	chu		chū 出,初,樗,貙,齣	chú 除,厨,橱,躇,雏,锄,刍,蜍,蹰,滁,鉏,鋤,蒭,豠,耡,芻,篨,雛,廚,櫥	chǔ 处,楚,础,储,褚,杵,處,禇,楮,礎,齼,処,儲	chù 处,触,畜,矗,搐,黜,怵,绌,處,憷,觸,臅,竌,亍	
чуа	chua						
чуай	chuai		chuāi 揣,搋	chuái 膗	chuǎi 揣	chuài 踹,嘬,膪	
чуань	chuan		chuān 穿,川,氚,巛	chuán 传,船,椽,遄,伝,傳	chuǎn 喘,舛,荈	chuàn 串,钏	
чуан	chuang		chuāng 创,窗,疮,囱,窓,創,瘡	chuáng 床,幢,牀	chuǎng 闯,闖	chuàng 创,怆,創	
чуй	chui		chuī 吹,炊	chuí 垂,椎,锤,捶,槌,陲,棰,箠,腄,鎚,顀,菙,錘			
чунь	chun		chūn 春,椿,蝽,輴	chún 纯,唇,醇,淳,鹑,莼,純,蓴,錞,陙,鯙,脣,醕	chǔn 蠢,賰		
чо	chuo		chuō 戳,踔			chuò 绰,缀,啜,辍,龊,醊,辵,磭,踀,箹,綴,綽,⻌	
цы	ci		cī 刺,疵,呲	cí 词,辞,慈,磁,茨,瓷,雌,祠,鹚,糍,詞,餈,薋,辭,鴜,飺	cǐ 此,跐	cì 次,刺,赐,伺,莿,賜	
цун	cong		cōng 匆,聪,葱,囱,枞,苁,骢,璁,茐,蓯,聦,鏦,聰,蔥,驄,鍐,聡	cóng 从,丛,淙,琮,賨,誴,従,從,叢		còng 謥	
цоу	cou					còu 凑,辏,腠,輳,楱,湊	
цу	cu		cū 粗,麄,麆,麤	cú 徂,殂		cù 促,卒,簇,醋,猝,蹙,酢,蹴,蔟,踧	
цуань	cuan		cuān 蹿,撺,汆,镩	cuán 攒,攢		cuàn 窜,篡,爨,竄,窾	
цуй	cui		cuī 衰,催,摧,崔,榱,缞,脺,磪		cuǐ 璀,趡	cuì 粹,脆,翠,悴,萃,瘁,啐,淬,粋,膬,臎,膵,毳,翆,紣	
цунь	cun		cūn 村,邨,皴,膥	cún 存	cǔn 忖	cùn 寸,吋	
цо	cuo		cuō 搓,磋,撮,蹉,瑳	cuó 痤,矬,鹾,嵯,瘥,虘,睉	cuǒ 脞	cuò 错,措,挫,厝,锉,錯	
да	da		dā 答,搭,哒,耷,褡,跶	dá 打,达,答,瘩,沓,鞑,靼,妲,笪,怛,達,荅,迏,繨,荙	dǎ 打	dà 大	da 疸
дай	dai		dāi 待,呆		dǎi 逮,歹,傣	dài 大,代,带,待,戴,袋,贷,逮,黛,怠,殆,岱,迨,玳,甙,绐,埭,轪,艜,襶,貣,簤,貸,鮘,帯,帶	
дань	dan		dān 单,担,丹,耽,眈,郸,殚,聃,儋,箪,酖,瘅,聸,簞,躭,襌,単,單,擔		dǎn 胆,掸,疸,膽,赕	dàn 但,石,弹,担,淡,旦,蛋,诞,氮,惮,澹,啖,萏,瘅,霮,蓞,蜑,饏,駳,誕,髧,弾,憚,彈,擔	
дан	dang		dāng 当,裆,铛,簹,當,噹		dǎng 党,档,挡,谠,黨,讜,檔,擋	dàng 当,荡,档,挡,宕,凼,砀,菪,逿,簜,趤,碭,礑,當,檔,蕩,擋	
дао	dao		dāo 刀,叨,氘,忉,鱽,魛,刂		dǎo 导,倒,岛,祷,蹈,捣,禱,隝,導,島,嶋,搗,擣	dào 到,道,倒,盗,稻,悼,焘,纛,帱,盜,稲,衟,翢,軇	
дэ	de			dé 得,德,锝,徳,㝵			de 的,地,得,底
дэй	dei				děi 得		
дэнь	den						
дэн	deng		dēng 登,灯,蹬,簦,噔,燈		děng 等,戥	dèng 邓,瞪,凳,澄,镫,嶝,磴,鄧,隥	
ди	di		dī 的,低,滴,堤,嘀,氐,羝,镝,鞮,磾,袛,隄	dí 的,敌,迪,狄,笛,涤,嫡,翟,荻,绦,籴,镝,觌,絛,篴,糴,靮,鬄,敵	dǐ 底,抵,邸,砥,氐,诋,骶,柢,坻,菧,觝,聜,軧,牴	dì 的,地,第,帝,弟,蒂,递,缔,谛,棣,娣,睇,碲,遆,遞,禘,菂,締,釱,腣,逓,諦,祶	
дя	dia				diǎ 嗲		
дянь	dian		diān 颠,癫,滇,巅,掂,齻,顛,蹎,槙,槇,佔		diǎn 点,典,碘,踮,點,蒧	diàn 电,店,殿,甸,垫,奠,淀,佃,惦,玷,癜,钿,靛,簟,電,阽,坫,蜔,鈿,磹,墊,澱	
дяо	diao		diāo 雕,刁,碉,凋,叼,貂,鲷,鵰,鯛,彫		diǎo 鸟,鳥	diào 调,掉,吊,钓,調,铫,铞,訋,釣,窎,蓧,弔	
де	die		diē 跌,爹	dié 叠,蝶,谍,碟,迭,喋,牒,堞,蹀,耋,鲽,垤,绖,眰,褋,瓞,蜨,眣,耊,镻,詄,畳,諜,疊			
дин	ding		dīng 丁,盯,钉,叮,町,酊,仃,玎,疔,耵,釘,虰		dǐng 顶,鼎,酊,頂,艼,鐤,鼑	dìng 定,订,钉,锭,铤,啶,碇,腚,訂,釘,饤,碠,磸,錠	
дю	diu		diū 丢,铥,颩,丟				
дун	dong		dōng 东,冬,咚,氡,鸫,岽,鶇,蝀,笗,鶫,菄,東,鼕		dǒng 懂,董,箽	dòng 动,洞,冻,栋,恫,侗,峒,胴,胨,硐,霘,垌,凍,棟,動,働,丼	
доу	dou		dōu 都,兜,蔸,篼		dǒu 斗,抖,陡,蚪	dòu 斗,读,豆,逗,窦,痘,讀,饾,餖,竇,閗,脰,荳,闘,鬥	
ду	du		dū 都,督,嘟,阇,闍	dú 独,读,毒,渎,犊,牍,黩,髑,讀,椟,讟,韥,鑟,読,獨	dǔ 肚,赌,堵,睹,笃,竺,覩,篤,賭	dù 度,杜,渡,肚,妒,镀,蠹,芏,鍍,秺,妬	
дуань	duan		duān 端		duǎn 短	duàn 断,段,锻,缎,椴,煅,鍛,緞,葮,斷	
дуй	dui		duī 追,堆,鴭		duǐ 怼	duì 对,队,兑,怼,碓,隊,憝,祋,陮,対,兌,對	
дунь	dun		dūn 吨,敦,蹲,墩,礅,鐓,蹾,镦,惇,噸		dǔn 盹,趸,躉	dùn 顿,盾,钝,遁,沌,炖,囤,砘,遯,鈍,逇,頓	
до	duo		duō 多,哆,咄,掇,裰	duó 度,夺,踱,铎,奪	duǒ 朵,躲,垛,缍,哚,軃,躱	duò 堕,舵,惰,驮,跺,垛,剁,沲,饳,墮	
