цяо	qiao		qiāo 悄,敲,雀,跷,橇,锹,硗,劁,鍬,蹻,缲,骹,繑,鐰,鄡,趬,磽,礉,繰	qiáo 桥,乔,瞧,侨,翘,蕉,樵,憔,荞,谯,菬,鞒,翹,硚,睄,礄,藮,橋,喬,僑	qiǎo 巧,悄,愀,釥	qiào 壳,俏,峭,翘,窍,鞘,撬,诮,谯,竅,翹,陗,礉,殻,殼	
це	qie		qiē 切	qié 茄,聺	qiě 且	qiè 切,窃,怯,妾,惬,锲,趄,挈,箧,慊,郄,踥,稧,鍥,竊	
цинь	qin		qīn 亲,侵,钦,衾,骎,駸,親,鮼,綅,菳,欽	qín 秦,勤,琴,禽,擒,芹,噙,芩,嗪,覃,锓,檎,螓,廑,矝,肣,蠄,鈙,菳,菦,懃	qǐn 寝,笉,寢	qìn 沁,揿,吣,菣	
цин	qing		qīng 清,轻,青,倾,卿,氢,顷,蜻,輕,鲭,頃,圊,鯖,軽,傾,氫	qíng 情,晴,擎,氰,檠,黥	qǐng 请,顷,請,頃,苘	qìng 亲,庆,罄,磬,箐,親,碃,慶	
цюн	qiong		qiōng 銎	qióng 穷,琼,穹,邛,蛩,跫,筇,茕,藭,窮,蛬,藑,睘,赹,瞏,瓊			
цю	qiu		qiū 秋,丘,邱,蚯,鳅,楸,萩,趥,鞧,鞦,秌,鰌,鹙,穐,龝,坵	qiú 求,球,仇,囚,裘,酋,虬,泅,遒,俅,逑,鰽,巯,犰,蝤,赇,訄,虯,絿,蛷,銶,訅,肍,觓,毬	qiǔ 糗		
цюй	qu		qū 区,曲,趋,驱,屈,躯,岖,蛐,祛,蛆,诎,黢,麴,袪,趨,胠,驅,麹,麯,誳,軀,鰸,駆,駈,區	qú 渠,瞿,衢,蠼,劬,朐,癯,蕖,鸲,璩,蘧,磲,鼩,菃,氍,胊,蠷,臞,翑,葋	qǔ 取,曲,娶,龋,蝺,齲	qù 去,趣,觑,阒,闃,閴	
цюань	quan		quān 圈,悛,箞,圏	quán 全,权,泉,拳,痊,蜷,诠,荃,颧,铨,醛,鬈,筌,鳈,鰁,踡,詮,絟,辁,硂,葲,銓,顴,権,權,捲	quǎn 犬,绻,畎,犭	quàn 券,劝,勧,勸	
цюэ	que		quē 缺,阙,炔,闕	qué 瘸		què 却,确,雀,阙,鹊,芍,榷,阕,確,悫,碻,鵲,闕,礐,卻	
цюнь	qun		qūn 逡,踆,夋	qún 群,裙,羣			
жань	ran			rán 然,燃,髯,蚺,髥,袇,肰	rǎn 染,冉,苒,冄		
жан	rang			ráng 瓤,穰,禳,蘘,穣	rǎng 嚷,壤,攘,壌	ràng 让,讓,譲	
жао	rao			ráo 饶,荛,桡,娆,蕘,饒	rǎo 扰,擾	rào 绕,繞,遶	
жэ	re				rě 惹,喏	rè 热,熱	
жэнь	ren			rén 人,任,仁,壬,魜,亻	rěn 忍,稔,荏,秹	rèn 任,认,刃,韧,妊,纫,饪,仞,衽,認,轫,訒,韌,袵,鵀,讱,靭,餁,纴,絍,靱,飪,紝,軔	
жэн	reng		rēng 扔	réng 仍,礽			
жи	ri					rì 日,鈤	
жун	rong			róng 容,荣,融,溶,绒,蓉,熔,戎,镕,茸,榕,嵘,肜,蝾,絨,鎔,褣,駥,狨,栄,榮	rǒng 冗	ròng 穃	
жоу	rou			róu 柔,揉,蹂,鞣,糅,脜,腬,葇,禸		ròu 肉	
жу	ru			rú 如,儒,蠕,茹,孺,嚅,濡,薷,铷,襦,颥,顬,蒘,袽,鴽	rǔ 女,女,乳,辱,汝	rù 入,褥,缛,洳,溽,蓐,鳰	
жуань	ruan				ruǎn 软,阮,朊,軟,緛,耎	ruàn 緛	
жуй	rui			ruí 蕤,緌	ruǐ 蕊,蕋,蘂	ruì 瑞,锐,睿,芮,蚋,枘,銳,鋭,笍,叡	
жунь	run					rùn 润,闰,膶,閏,潤	
жо	ruo					ruò 若,弱,偌,箬,鶸,蒻,篛	
са	sa		sā 撒,仨		sǎ 撒,洒,靸,灑	sà 萨,卅,飒,脎,颯,薩	
сай	sai		sāi 塞,腮,鳃,噻			sài 赛,塞,簺,賽	
сань	san		sān 三,叁,毵,鬖,參		sǎn 散,伞,馓,糁,繖,傘	sàn 散	
сан	sang		sāng 丧,桑,喪		sǎng 嗓,搡,颡,磉	sàng 丧,喪	
сао	sao		sāo 骚,搔,臊,缫,缲,鰠,騷,鳋,螦,繰,騒,掻		sǎo 扫,嫂,掃	sào 扫,臊,埽,瘙,矂,髞,掃,喿	
сэ	se					sè 色,塞,瑟,涩,啬,穑,铯,粣,繬,穯,譅,銫,渋,澀,嗇	
сэнь	sen		sēn 森				
сэн	seng		sēng 僧,鬙				
ша	sha		shā 杀,沙,莎,刹,煞,纱,砂,鲨,铩,裟,痧,閷,紗,髿,繺,鯋,蔱,鯊,殺,剎	shá 啥	shǎ 傻,唼	shà 厦,煞,霎,嗄,歃,翜,閯,翣,菨,廈	
шай	shai		shāi 筛,篩		shǎi 色	shài 晒,曬	
шань	shan		shān 山,扇,衫,珊,杉,删,煽,姗,跚,苫,潸,舢,芟,膻,钐,埏,羶,釤,彡,縿,鯅,羴,刪,搧		shǎn 闪,陕,掺,睒,閃,陝	shàn 单,善,扇,禅,擅,膳,讪,汕,赡,缮,蟮,鳝,嬗,鄯,疝,剡,骟,鳣,訕,繕,禪,鱓,單	
шан	shang		shāng 商,伤,熵,墒,觞,殇,謪,傷		shǎng 上,赏,晌,垧,賞	shàng 上,尚,绱,鞝	
шао	shao		shāo 烧,稍,梢,捎,艄,筲,蛸,焼,燒	sháo 勺,韶,芍,苕,杓	shǎo 少	shào 少,绍,稍,哨,邵,劭,紹,潲,袑,睄	
шэ	she		shē 奢,赊,畲,猞,輋	shé 折,蛇,舌,佘,阇,揲,闍,虵,蛥	shě 舍,捨	shè 社,设,射,涉,舍,摄,拾,慑,赦,麝,歙,厍,設,蔎,滠,騇,舎,渉,摂,攝	
шэй	shei			shéi 谁,誰			
шэнь	shen		shēn 身,深,参,申,伸,绅,呻,娠,莘,砷,诜,鲹,蓡,詵,蔘,鯵,籶,糂,罙,紳,葠,鯓	shén 什,神,甚,鰰	shěn 审,沈,婶,哂,渖,谂,矧,谉,瞫,魫,邥,審,嬸	shèn 甚,慎,肾,渗,蜃,腎,胂,葚,椹,祳,眘,滲	
шэн	sheng		shēng 生,声,升,牲,甥,笙,聲,鼪,鍟	shéng 绳,渑,繉,繩,縄	shěng 省,眚	shèng 胜,圣,盛,乘,剩,嵊,晟,聖,賸,勝,剰	
ши	shi		shī 师,失,施,诗,尸,湿,狮,虱,蓍,絁,邿,詩,酾,鍦,葹,鳾,鰤,鶳,蝨,箷,師,屍,獅,濕,溼	shí 时,实,十,什,识,石,食,拾,蚀,炻,鲥,莳,識,祏,埘,辻,鉐,蝕,鼫,遈,時,実,蒔,實,饣	shǐ 使,始,史,驶,矢,屎,豕,駛,鉂	shì 是,事,世,市,式,士,示,视,势,试,适,室,释,氏,饰,侍,誓,逝,轼,嗜,仕,恃,噬,拭,柿,谥,舐,視,弑,螫,筮,適,莳,釋,試,铈,諡,贳,眎,秲,鉃,襫,鈰,飾,鉽,勢,釈,貰,蒔,礻	shi 辻,籂
шоу	shou		shōu 收,収		shǒu 手,首,守,艏,扌	shòu 受,授,售,兽,寿,瘦,狩,绶,鏉,膄,獣,痩,獸,壽	
шу	shu		shū 书,输,殊,叔,舒,疏,枢,淑,梳,蔬,倏,抒,纾,菽,殳,姝,摅,輸,毹,紓,綀,書,疎,樞,疋	shú 熟,赎,孰,塾,秫,贖	shǔ 数,属,署,鼠,蜀,暑,薯,曙,黍,钃,藷,數,屬	shù 数,术,述,树,束,恕,竖,墅,庶,俞,漱,戍,術,澍,腧,沭,翛,豎,裋,樹,數,朮,丨	
шуа	shua		shuā 刷,唰		shuǎ 耍	shuà 刷	
шуай	shuai		shuāi 衰,摔		shuǎi 甩	shuài 率,帅,蟀,帥	
шуань	shuan		shuān 栓,拴,闩,絟			shuàn 涮,腨	
шуан	shuang		shuāng 双,霜,孀,泷,雙,騻,艭,鸘,驦		shuǎng 爽		
шуй	shui			shuí 脽	shuǐ 水,氵	shuì 说,税,睡,說,稅	
шунь	shun				shǔn 吮	shùn 顺,瞬,舜,順,蕣	
шо	shuo		shuō 说,說,説			shuò 数,硕,烁,朔,槊,铄,蒴,妁,搠,箾,矟,碩,數,爍,欶	
сы	si		sī 斯,司,思,私,丝,撕,嘶,厮,咝,蛳,锶,鸶,缌,澌,絲,虒,覗,鼶,飔,禠,鷥,磃,緦,禗,偲,厶,纟		sǐ 死	sì 四,似,食,寺,饲,肆,嗣,伺,厕,祀,巳,俟,泗,笥,姒,驷,汜,耜,兕,鈶,飼,蕼,竢,禩,廁	
сун	song		sōng 松,嵩,淞,凇,崧,菘,鬆		sǒng 耸,悚,怂,竦,駷,聳	sòng 送,宋,讼,颂,诵,頌,訟,誦,吅	
соу	sou		sōu 艘,搜,嗖,飕,馊,锼,溲,螋,蒐,颼,鎪,鏉,蓃,捜		sǒu 叟,擞,薮,嗾,瞍,謏,籔,蓃	sòu 嗽	
су	su		sū 苏,稣,酥,蘇,鯂,蘓,稡,穌,甦,囌	sú 俗		sù 诉,速,素,肃,宿,塑,溯,粟,愫,簌,谡,夙,窣,嗉,僳,涑,觫,蔌,莤,骕,餗,訴,肅,遡,驌,藗,鷫,粛,膆	
суань	suan		suān 酸,狻,痠			suàn 算,蒜,笇,筭,祘	
суй	sui		suī 虽,尿,睢,濉,荽,雖,眭,鞖,夊	suí 随,绥,隋,隨,雟,綏	suǐ 髓,髄	suì 岁,碎,遂,隧,穗,祟,邃,燧,谇,繸,譢,繐,禭,繀,鐩,穟,砕,歳,穂,歲	
сунь	sun		sūn 孙,荪,飧,狲,蕵,孫,喰		sǔn 损,笋,隼,榫,筍,簨,損		
со	suo		suō 缩,莎,梭,嗦,唆,娑,蓑,挲,嗍,羧,睃,縮,桫,鮻,簑		suǒ 所,索,锁,琐,唢,鎖,鏁,鎍,褨,瑣	suò 逤	
та	ta		tā 他,她,它,踏,塌,趿,铊,祂,溻,牠		tǎ 塔,鳎,獭,鰨,鎝	tà 踏,拓,榻,嗒,蹋,沓,挞,闼,遢,漯,阘,遝,粏,闒,禢,蹹,誻	
тай	tai		tāi 胎,苔,呔	tái 台,抬,苔,跆,薹,邰,炱,骀,鲐,臺,菭,颱,檯		tài 太,态,泰,汰,钛,肽,酞,鈦,舦,態	
тань	tan		tān 贪,滩,摊,瘫,坍,貪,攤,灘,癱	tán 谈,弹,坛,谭,潭,痰,檀,澹,昙,覃,郯,锬,镡,談,醰,罈,藫,黮,曇,壇,彈,譚	tǎn 坦,毯,袒,忐,钽,禫,贉	tàn 探,叹,炭,碳,嘆,歎	
тан	tang		tāng 汤,趟,蹚,羰,镗,鼞,闛,鞺,湯	táng 唐,堂,糖,塘,棠,膛,搪,螳,瑭,醣,樘,溏,螗,闛,磄	tǎng 躺,倘,淌,傥,帑,矘,耥	tàng 荡,趟,烫,盪,燙	
тао	tao		tāo 涛,掏,滔,叨,韬,饕,绦,絛,飸,謟,縚,濤	táo 逃,陶,桃,萄,淘,啕,洮,鼗,迯,绹,鋾,蜪,醄,祹,駣,騊	tǎo 讨,討	tào 套	
тэ	te					tè 特,忒,忑,慝,铽,脦	
тэй	tei		tēi 忒				
тэн	teng		tēng 膯	téng 腾,疼,藤,滕,誊,邆,螣,籐,縢,鰧,騰,謄			
ти	ti		tī 梯,踢,剔,锑,鷉	tí 提,题,蹄,啼,題,缇,绨,鹈,醍,荑,鳀,遆,趧,綈,鶗,騠,緹,磃,禔,蕛,禵,鵜	tǐ 体,體,軆	tì 替,惕,涕,屉,剃,嚏,倜,悌,逖,裼,薙,笹,趯,逷,鬀,鬄,屜	
тянь	tian		tiān 天,添,黇,呑	tián 田,填,甜,佃,恬,钿,阗,畋,鴫,鈿,碵,畑,塡	tiǎn 舔,腆,忝,殄,餂,觍,覥	tiàn 掭	
тяо	tiao		tiāo 挑,佻,祧	tiáo 条,调,迢,笤,龆,苕,調,蓚,髫,鲦,蜩,鞗,鰷,蓨,條	tiǎo 挑,窕	tiào 跳,眺,粜	
те	tie		tiē 贴,帖,萜,貼		tiě 铁,帖,鉄,鐵,驖	tiè 帖,餮	
тин	ting		tīng 听,厅,汀,烃,聽,綎,鞓,聴,庁,廳	tíng 停,庭,廷,亭,霆,婷,蜓,葶,閮,莛,鼮	tǐng 艇,挺,町,铤,梃,閮,颋	tìng 听,聽	
тун	tong		tōng 通,嗵	tóng 同,童,铜,桐,佟,瞳,酮,潼,彤,侗,僮,峒,硐,砼,仝,茼,粡,秱,蚒,穜,餇,眮,詷,銅,鲖	tǒng 统,筒,桶,捅,甬,統,綂,筩	tòng 同,通,痛,恸,衕	
тоу	tou		tōu 偷,鍮	tóu 头,投,骰,頭,亠	tǒu 钭,紏,飳	tòu 透	tou 头,頭
ту	tu		tū 突,秃,凸,鋵,禿	tú 图,徒,途,涂,屠,荼,酴,鶟,鍎,葖,稌,莵,鷵,図,塗,圖,凃	tǔ 土,吐,钍	tù 吐,兔,菟,堍,莵,兎	
туань	tuan		tuān 湍,貒	tuán 团,抟,糰,団,團	tuǎn 疃	tuàn 彖,貒	
туй	tui		tuī 推,讉,藬,蓷	tuí 颓,魋,隤,頹,頺	tuǐ 腿,蹆	tuì 退,褪,蜕,煺,螁,蛻	
тунь	tun		tūn 吞,暾,呑	tún 屯,臀,豚,饨,囤,鲀,飩,臋,軘	tǔn 氽	tùn 褪	
то	tuo		tuō 托,脱,拖,乇,脫,託,袉,讬,袥,飥	tuó 陀,驼,驮,鸵,沱,橐,佗,砣,跎,鼍,坨,酡,柁,陁,鮀,袉,駝,沲,阤,駞,鼉,砤,駄	tuǒ 妥,椭,庹,橢	tuò 拓,唾,箨,柝,跅,籜,萚	
ва	wa		wā 挖,哇,凹,蛙,洼,娲,韈,窪,窊,穵	wá 娃	wǎ 瓦,佤	wà 袜,腽,襪	wa 哇
вай	wai		wāi 歪,呙		wǎi 歪,崴	wài 外	
вань	wan		wān 湾,弯,蜿,豌,剜,睕,灣,彎	wán 完,玩,顽,丸,烷,芄,纨,貦,頑	wǎn 晚,碗,挽,宛,婉,皖,惋,娩,畹,莞,绾,琬,菀,脘,輓,箢,盌,鋺,晩	wàn 万,腕,萬,翫,瞣,綄,脕,輐	
ван	wang		wāng 汪,尢	wáng 王,亡	wǎng 往,网,枉,惘,罔,魍,網,辋,菵,蝄,罒	wàng 王,望,忘,妄,旺,盳,迋	
вэй	wei		wēi 委,威,微,危,薇,巍,偎,崴,煨,逶,葳,隈,鳂,葨	wéi 为,维,围,唯,违,韦,惟,喂,帷,桅,圩,闱,潍,嵬,帏,維,涠,鮠,鍏,鄬,違,硙,矀,囲,為,韋,圍,爲,囗	wěi 委,唯,伟,尾,伪,纬,萎,苇,娓,猥,诿,痿,炜,隗,玮,韪,艉,鲔,洧,頠,薳,緯,葦,骫,磈,硊,骩,蔿,諉,鮪,偉,偽	wèi 为,位,未,卫,味,谓,慰,魏,胃,喂,畏,尉,蔚,渭,猬,鳚,衛,謂,霨,蝟,苿,讏,硙,鏏,軎,餵,磑,藯,躛,蜼,鮇,為,爲,衞	
вэнь	wen		wēn 温,瘟,鳁,辒,緼,溫	wén 文,闻,纹,蚊,雯,阌,玟,聞,闅,閺,鼤,紋,閿,繧,螡,魰	wěn 稳,吻,紊,刎,穩,脗,穏	wèn 问,汶,璺,顐,問	
вэн	weng		wēng 翁,嗡,聬,鹟,鶲		wěng 蓊	wèng 瓮,蕹,罋,齆	
во	wo		wō 窝,涡,倭,挝,蜗,莴,窩,緺,萵,蝸,渦		wǒ 我	wò 握,沃,卧,斡,渥,龌,幄,硪,肟,臥,臒,馧	wo 喔
у	wu		wū 屋,乌,污,於,巫,呜,诬,钨,邬,圬,鴮,螐,鰞,汚,烏,嗚,誣,汙	wú 无,吴,吾,毋,唔,芜,梧,蜈,庑,浯,鼯,鹀,铻,茣,祦,莁,無,呉,吳	wǔ 五,武,午,舞,伍,侮,捂,鹉,妩,庑,忤,迕,怃,仵,牾,碔,憮	wù 物,务,恶,误,悟,雾,勿,晤,兀,坞,戊,鋈,骛,鹜,婺,寤,焐,芴,杌,誤,靰,霚,痦,霧,阢,趶,蘁,鶩,務,惡,噁	
си	xi		xī 西,息,希,吸,析,悉,腊,惜,稀,牺,夕,锡,溪,晰,膝,昔,嘻,熙,兮,熄,茜,嬉,奚,犀,螅,曦,蟋,熹,蹊,羲,汐,烯,蜥,皙,醯,唏,淅,僖,硒,窸,翕,浠,矽,诶,裼,舾,穸,欷,谿,樨,粞,菥,豨,鼷,鸂,錫,觿,豀,觽,糦,鏭,睎,礂,饻,翖,闟,犠,扱,渓,犧	xí 习,席,袭,媳,褶,檄,習,隰,觋,郋,襲,鳛,騽,霫,蓆,薂,鎴	xǐ 喜,洗,禧,徙,玺,铣,葸,屣,蓰,銑,蟢,璽	xì 系,细,戏,隙,阋,饩,細,郤,禊,郄,舄,繫,衋,盻,绤,稧,繋,肸,舃,鑴,餼,係,戯,潟,戲	
ся	xia		xiā 瞎,虾,呷,鰕,蝦	xiá 侠,辖,峡,狭,霞,暇,匣,瑕,遐,黠,狎,硖,柙,祫,陜,鎋,翈,轄,狹,峽,俠		xià 下,夏,吓,厦,罅,睱,嚇,廈	
сянь	xian		xiān 先,鲜,仙,纤,掀,酰,暹,锨,跹,籼,氙,祆,莶,铦,鮮,纖,韱,鱻,繊	xián 闲,嫌,贤,弦,衔,咸,舷,娴,涎,痫,鹇,鹹,絃,賢,藖,鷳,衘,醎,蚿,鷼,銜,閑,鷴,稴,啣	xiǎn 显,险,鲜,藓,铣,蚬,跣,冼,燹,顯,險,鮮,筅,彡,猃,銑,蜆,顕,険	xiàn 现,见,线,限,县,献,陷,宪,腺,羡,馅,霰,苋,見,岘,線,粯,軐,県,睍,縣,糮,現,羨,陥,憲,獻,餡	
сян	xiang		xiāng 相,香,乡,箱,湘,厢,镶,襄,骧,芗,缃,鄉,葙,纕,緗,鑲,郷,廂,鄕	xiáng 降,详,祥,翔,庠,詳	xiǎng 想,响,享,饷,飨,響,鲞,餉,饟,鯗,饗	xiàng 向,相,像,象,项,巷,橡,項,衖,蟓,鱌,嚮	
сяо	xiao		xiāo 消,销,削,萧,肖,嚣,硝,霄,宵,潇,逍,箫,枭,骁,魈,枵,绡,哓,鸮,蛸,膮,銷,睄,骹,虈,硣,簫,簘,蟂,踃,鴵,颵,鴞,囂,蕭,瀟	xiáo 淆,崤	xiǎo 小,晓,筱,篠,謏,暁,曉,⺍	xiào 笑,效,校,肖,孝,啸,哮,薢,薂,効,咲,嘯,傚	
се	xie		xiē 些,歇,楔,蝎,蠍	xié 协,叶,胁,邪,鞋,斜,携,谐,挟,颉,偕,撷,缬,勰,絜,龤,脅,諧,綊,縀,協,脇,攜,挾	xiě 写,藛,寫	xiè 解,谢,械,泄,卸,屑,懈,泻,蟹,亵,榭,燮,邂,獬,骱,瀣,謝,榍,渫,廨,躞,绁,薤,韰,絏,齛,缷,蠏,緤,洩,瀉	
синь	xin		xīn 心,新,辛,欣,薪,芯,馨,锌,鑫,忻,歆,莘,昕,訢,鋅,忄	xín 鄩,镡		xìn 信,芯,衅,囟,軐,舋,釁	
син	xing		xīng 兴,星,猩,腥,惺,興,篂,骍	xíng 行,形,型,刑,邢,硎,饧,荥,陉,铏,钘,銒	xǐng 省,醒,擤	xìng 性,兴,幸,姓,杏,悻,荇,興,臖,莕,倖	
сюн	xiong		xiōng 兄,胸,凶,匈,汹,芎,詾,賯,匂,兇,洶,㐫	xióng 雄,熊		xiòng 诇,詗	
сю	xiu		xiū 修,休,羞,馐,咻,庥,鸺,髹,脩,貅,髤,脙,鵂,饈,銝		xiǔ 宿,朽	xiù 秀,袖,宿,臭,绣,嗅,锈,岫,溴,褏,褎,螑,鏽,繍,繡,銹	
сюй	xu		xū 需,须,虚,吁,墟,嘘,胥,戌,圩,虛,砉,須,繻,盱,谞,諝,譃,虗,魖,訏,鬚,蕦,蝑	xú 徐,禑	xǔ 许,栩,诩,許,糈,鄦,醑,盨	xù 续,序,绪,叙,蓄,畜,旭,婿,絮,恤,顼,煦,蓿,酗,勖,溆,續,魆,藚,洫,緒,藇,聟,銊,稸,鱮,頊,訹,盢,続,敘,緖,敍	
сюань	xuan		xuān 宣,轩,喧,暄,煊,萱,谖,揎,儇,譞,蕿,翧,軒,矎,禤,駨,諠,睻,吅	xuán 旋,玄,悬,璇,漩,蜁,痃,懸	xuǎn 选,癣,選	xuàn 旋,眩,炫,渲,绚,铉,楦,泫,镟,衒,袨,縼,蔙,絢	
сюэ	xue		xuē 削,薛,靴	xué 学,穴,踅,泶,袕,鸴,鷽,學	xuě 雪,鳕	xuè 血,谑	
сюнь	xun		xūn 勋,熏,薰,醺,獯,埙,窨,曛,纁,臐,矄,勲,薫,勳	xún 寻,巡,询,循,旬,荀,洵,荨,峋,鲟,浔,恂,蟫,詢,郇,紃,蕁,蟳,駨,尋		xùn 训,迅,讯,逊,驯,殉,汛,徇,巽,訓,蕈,訊,訙,遜,稄,顨,馴	
я	ya		yā 压,押,鸭,哑,鸦,丫,桠,垭,鴨,鴉,圧,壓,啞	yá 牙,崖,涯,芽,衙,伢,蚜,琊,睚,岈	yǎ 雅,哑,痖,唖,啞,疋	yà 亚,压,讶,娅,轧,氩,迓,砑,揠,齾,錏,铔,訝,襾,窫,亜,冴,軋,壓,亞,乚	ya 呀
яай	yai						
янь	yan		yān 烟,咽,殷,焉,淹,奄,嫣,阉,湮,腌,胭,阏,菸,恹,鄢,崦,洇,硽,醃,閹,煙	yán 言,研,严,延,沿,炎,岩,颜,盐,阎,檐,蜒,筵,妍,闫,硏,顏,鹽,埏,綖,麣,簷,閻,莚,顔,訮,鈆,塩,厳,巌,嚴,嵒,巖,讠	yǎn 眼,演,掩,衍,奄,俨,偃,魇,兖,鼹,琰,厣,郾,罨,剡,顩,蝘,硽,龑,黡,鶠,裺,黶	yàn 验,厌,燕,咽,艳,宴,焰,雁,彦,堰,谚,晏,砚,赝,唁,驗,餍,焱,滟,酽,谳,鷃,軅,讞,艷,酀,醼,饜,讌,艶,諺,鴳,鬳,験,厭,彥,豔,嚥,燄	
ян	yang		yāng 央,鞅,秧,殃,鸯,泱,鴦,眏	yáng 阳,洋,杨,扬,羊,疡,佯,炀,陽,烊,蛘,徉,飏,諹,钖,輰,颺,鴹,鍚,揚,瘍,楊,昜	yǎng 养,仰,氧,痒,養,駚,眏,紻,癢	yàng 样,漾,恙,怏,羕,詇,様,樣	
яо	yao		yāo 要,约,腰,邀,妖,夭,吆,幺,約,祅,訞	yáo 摇,遥,姚,窑,谣,瑶,尧,肴,爻,徭,繇,鳐,铫,轺,珧,飖,遙,餆,餚,窯,謡,謠,颻,揺,尭,堯,搖	yǎo 咬,杳,舀,窈,崾,闄,窔,窅,蓔	yào 要,药,耀,藥,鹞,疟,曜,艞,靿,葯,矅,箹,薬,燿	
е	ye		yē 耶,掖,椰,噎,窫	yé 爷,耶,揶,爺	yě 也,野,冶	yè 业,夜,叶,页,液,咽,拽,曳,谒,腋,掖,邺,晔,烨,靥,葉,頁,鐷,鍱,謁,業	ye 耶
и	yi		yī 一,医,依,衣,伊,揖,醫,漪,噫,壹,咿,铱,猗,欹,祎,黟,蛜,鷖,壱,衤	yí 疑,移,遗,仪,宜,姨,夷,怡,颐,咦,胰,贻,彝,沂,诒,迤,饴,痍,眙,遺,荑,嶷,圯,讉,迻,頉,貤,簃,迆,訑,頤,詒,箷,袘,貽,鴺,羠,儀,飴	yǐ 以,已,尾,椅,乙,矣,蚁,倚,迤,旖,苡,钇,螘,顗,齮,蟻,笖,艤,舣,迆,釔,礒,⺄	yì 意,义,议,易,益,异,衣,艺,亦,亿,译,役,艾,翼,忆,抑,疫,毅,谊,逸,溢,裔,懿,绎,奕,芸,邑,诣,驿,翌,臆,佚,屹,谥,轶,熠,弋,弈,翊,呓,蜴,薏,刈,羿,缢,翳,镒,嗌,峄,悒,肄,挹,癔,仡,義,議,怿,佾,瘗,埸,劓,鎰,袣,镱,殪,睪,齸,詣,藙,蓺,鷧,藝,譯,蛡,鶃,褹,肊,裛,耴,饐,豷,鶍,鷁,苅,謚,鐿,袘,讛,贀,驛,螠,憶,億,訳,異,駅,誼,繹,乂	
инь	yin		yīn 因,音,阴,姻,殷,茵,湮,氤,喑,陰,洇,堙,铟,骃,禋,秵,絪,闉,駰,裀,隂,霠,銦,蒑,陻	yín 银,吟,淫,寅,龈,垠,夤,鄞,狺,龂,霪,銀,蟫,訚,鷣,齗,齦,訔,誾,碒,訡	yǐn 听,引,隐,饮,殷,尹,瘾,蚓,縯,飲,隱,吲,粌,飮,靷,隠,癮,廴	yìn 印,隐,饮,荫,胤,飲,窨,隱,鮣,茚,酳,蔭,廴	
ин	ying		yīng 应,英,鹰,婴,樱,莺,瑛,鹦,膺,缨,嘤,罂,璎,撄,韺,鷹,锳,軈,譻,罃,桜,應,嬰,櫻,鶯	yíng 营,迎,赢,盈,莹,蝇,荧,萤,瀛,萦,嬴,滢,楹,潆,茔,蓥,蝿,贏,縈,藀,蠅,螢,蛍,営,營,瑩	yǐng 影,颖,颍,郢,瘿,穎	yìng 应,硬,映,媵,眏,応,應	
юн	yong		yōng 拥,庸,佣,雍,臃,邕,慵,痈,饔,壅,镛,墉,鳙,鄘,擁,傭	yóng 喁,顒,颙,鰫	yǒng 永,勇,涌,泳,咏,踊,恿,蛹,甬,俑,鯒,禜,詠,踴,鲬,湧	yòng 用,佣	
ё	yo		yō 哟,唷,喲				yo 哟,唷,喲
ю	you		yōu 优,忧,幽,悠,攸,呦,麀,耰,憂,優	yóu 由,游,油,尤,犹,邮,铀,疣,鱿,猷,莜,莸,繇,蝣,蚰,輶,鲉,莤,逌,遊,鈾,郵,鮋,猶,斿	yǒu 有,友,黝,酉,莠,牖,卣,铕,羑,蜏,苃	yòu 又,右,幼,诱,佑,釉,祐,柚,囿,宥,蚴,鼬,侑,誘,鴢	
юй	yu		yū 於,迂,淤,瘀,菸,纡,穻,盓	yú 于,与,余,鱼,予,渔,愚,愉,舆,娱,逾,瑜,虞,禺,俞,榆,隅,渝,欤,谀,盂,馀,與,觎,腴,臾,揄,竽,畲,萸,嵛,窬,蝓,餘,踰,雩,狳,舁,妤,魚,隃,邘,轝,諛,輿,魣,釪,羭,緰,漁,娯,娛	yǔ 与,语,予,雨,宇,羽,屿,禹,與,龉,俣,庾,圄,窳,伛,語,圉,瘐,貐,頨,穻,祤,嶼	yù 与,语,育,预,域,遇,雨,玉,欲,愈,御,狱,誉,郁,豫,裕,吁,寓,喻,浴,谕,毓,粥,禺,蔚,驭,聿,煜,芋,峪,與,熨,钰,昱,阈,妪,鹬,饫,鬻,鹆,蜮,肀,預,燠,語,遹,鬱,蓣,鴥,矞,禦,鋊,鴪,礜,譽,軉,鴧,籲,翑,鈺,閾,籞,隩,驈,粖,袬,蘌,錥,礇,蕷,鳿,獄,諭,癒,喩,慾,瘉	
юань	yuan		yuān 渊,冤,鸳,鸢,眢,箢,鹓,蜎,肙,葾,鳶,鼘,淵	yuán 原,员,元,源,园,圆,援,缘,袁,猿,垣,辕,媛,沅,爰,鼋,圜,芫,螈,塬,橼,緣,鈨,贠,蝝,蚖,鶢,黿,縁,薗,笎,員,園,円,圓,轅	yuǎn 远,遠	yuàn 院,远,愿,怨,苑,媛,掾,瑗,遠,垸,願,褑,禐,夗	
юэ	yue		yuē 约,曰,約,箹		yuě 哕	yuè 月,越,乐,阅,跃,岳,悦,钥,粤,樾,刖,钺,閱,龠,籥,瀹,臒,躍,籆,趯,軏,粵,鑰,礿,閲,楽,樂,悅,嶽	
